study,phase,mechanism,repeat_scope,dimension,stratum,offered,both_correct,full_only_correct,candidate_only_correct,both_wrong,full_correct,candidate_correct,oracle_correct,oracle_accuracy,oracle_at_least_95pct,interpretation
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,closure_records,3+,8,0,1,2,5,1,2,3,0.375,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,family,reference-chain,8,0,1,2,5,1,2,3,0.375,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,max_retained_position_permille,334-666,2,0,0,0,2,0,0,0,0.0,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,max_retained_position_permille,667-1000,6,0,1,2,3,1,2,3,0.5,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,min_retained_position_permille,0-333,6,0,0,1,5,0,1,1,0.16666666666666666,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,min_retained_position_permille,334-666,2,0,1,1,0,1,1,2,1.0,True,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,overwritten_writes,0,8,0,1,2,5,1,2,3,0.375,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_0,all,all,8,0,1,0,7,1,0,1,0.125,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_0,closure_records,3+,8,0,1,0,7,1,0,1,0.125,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_0,family,reference-chain,8,0,1,0,7,1,0,1,0.125,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_0,max_retained_position_permille,334-666,2,0,0,0,2,0,0,0,0.0,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_0,max_retained_position_permille,667-1000,6,0,1,0,5,1,0,1,0.16666666666666666,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_0,min_retained_position_permille,0-333,6,0,0,0,6,0,0,0,0.0,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_0,min_retained_position_permille,334-666,2,0,1,0,1,1,0,1,0.5,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_0,overwritten_writes,0,8,0,1,0,7,1,0,1,0.125,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_1,all,all,8,0,1,0,7,1,0,1,0.125,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_1,closure_records,3+,8,0,1,0,7,1,0,1,0.125,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_1,family,reference-chain,8,0,1,0,7,1,0,1,0.125,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_1,max_retained_position_permille,334-666,2,0,0,0,2,0,0,0,0.0,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_1,max_retained_position_permille,667-1000,6,0,1,0,5,1,0,1,0.16666666666666666,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_1,min_retained_position_permille,0-333,6,0,0,0,6,0,0,0,0.0,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_1,min_retained_position_permille,334-666,2,0,1,0,1,1,0,1,0.5,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,pair_1,overwritten_writes,0,8,0,1,0,7,1,0,1,0.125,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,one_arm_correct_in_all_repeats,all,all,8,0,1,0,7,1,0,1,0.125,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,one_arm_correct_in_all_repeats,closure_records,3+,8,0,1,0,7,1,0,1,0.125,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,one_arm_correct_in_all_repeats,family,reference-chain,8,0,1,0,7,1,0,1,0.125,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,one_arm_correct_in_all_repeats,max_retained_position_permille,334-666,2,0,0,0,2,0,0,0,0.0,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,one_arm_correct_in_all_repeats,max_retained_position_permille,667-1000,6,0,1,0,5,1,0,1,0.16666666666666666,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,one_arm_correct_in_all_repeats,min_retained_position_permille,0-333,6,0,0,0,6,0,0,0,0.0,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,one_arm_correct_in_all_repeats,min_retained_position_permille,334-666,2,0,1,0,1,1,0,1,0.5,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,one_arm_correct_in_all_repeats,overwritten_writes,0,8,0,1,0,7,1,0,1,0.125,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,all,all,32,2,2,8,20,4,10,12,0.375,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,closure_records,1,11,2,2,3,4,4,5,7,0.6363636363636364,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,closure_records,3+,21,0,0,5,16,0,5,5,0.23809523809523808,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,family,record-lookup,11,2,2,3,4,4,5,7,0.6363636363636364,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,family,record-updates,10,0,0,5,5,0,5,5,0.5,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,family,reference-chain,11,0,0,0,11,0,0,0,0.0,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,max_retained_position_permille,0-333,2,0,0,1,1,0,1,1,0.5,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,max_retained_position_permille,334-666,6,1,1,2,2,2,3,4,0.6666666666666666,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,max_retained_position_permille,667-1000,24,1,1,5,17,2,6,7,0.2916666666666667,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,min_retained_position_permille,0-333,12,0,0,1,11,0,1,1,0.08333333333333333,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,min_retained_position_permille,334-666,14,1,1,7,5,2,8,9,0.6428571428571429,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,min_retained_position_permille,667-1000,6,1,1,0,4,2,1,2,0.3333333333333333,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,overwritten_writes,0,22,2,2,3,15,4,5,7,0.3181818181818182,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_0,overwritten_writes,1+,10,0,0,5,5,0,5,5,0.5,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,all,all,32,2,2,8,20,4,10,12,0.375,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,closure_records,1,11,2,2,3,4,4,5,7,0.6363636363636364,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,closure_records,3+,21,0,0,5,16,0,5,5,0.23809523809523808,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,family,record-lookup,11,2,2,3,4,4,5,7,0.6363636363636364,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,family,record-updates,10,0,0,5,5,0,5,5,0.5,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,family,reference-chain,11,0,0,0,11,0,0,0,0.0,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,max_retained_position_permille,0-333,2,0,0,1,1,0,1,1,0.5,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,max_retained_position_permille,334-666,6,1,1,2,2,2,3,4,0.6666666666666666,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,max_retained_position_permille,667-1000,24,1,1,5,17,2,6,7,0.2916666666666667,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,min_retained_position_permille,0-333,12,0,0,1,11,0,1,1,0.08333333333333333,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,min_retained_position_permille,334-666,14,1,1,7,5,2,8,9,0.6428571428571429,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,min_retained_position_permille,667-1000,6,1,1,0,4,2,1,2,0.3333333333333333,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,overwritten_writes,0,22,2,2,3,15,4,5,7,0.3181818181818182,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,pair_1,overwritten_writes,1+,10,0,0,5,5,0,5,5,0.5,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,all,all,32,2,2,8,20,4,10,12,0.375,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,closure_records,1,11,2,2,3,4,4,5,7,0.6363636363636364,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,closure_records,3+,21,0,0,5,16,0,5,5,0.23809523809523808,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,family,record-lookup,11,2,2,3,4,4,5,7,0.6363636363636364,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,family,record-updates,10,0,0,5,5,0,5,5,0.5,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,family,reference-chain,11,0,0,0,11,0,0,0,0.0,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,max_retained_position_permille,0-333,2,0,0,1,1,0,1,1,0.5,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,max_retained_position_permille,334-666,6,1,1,2,2,2,3,4,0.6666666666666666,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,max_retained_position_permille,667-1000,24,1,1,5,17,2,6,7,0.2916666666666667,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,min_retained_position_permille,0-333,12,0,0,1,11,0,1,1,0.08333333333333333,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,min_retained_position_permille,334-666,14,1,1,7,5,2,8,9,0.6428571428571429,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,min_retained_position_permille,667-1000,6,1,1,0,4,2,1,2,0.3333333333333333,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,overwritten_writes,0,22,2,2,3,15,4,5,7,0.3181818181818182,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,overwritten_writes,1+,10,0,0,5,5,0,5,5,0.5,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,all,all,32,2,2,7,21,4,9,11,0.34375,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,closure_records,1,11,2,2,3,4,4,5,7,0.6363636363636364,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,closure_records,3+,21,0,0,4,17,0,4,4,0.19047619047619047,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,family,record-lookup,11,2,2,3,4,4,5,7,0.6363636363636364,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,family,record-updates,10,0,0,0,10,0,0,0,0.0,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,family,reference-chain,11,0,0,4,7,0,4,4,0.36363636363636365,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,max_retained_position_permille,0-333,4,1,1,0,2,2,1,2,0.5,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,max_retained_position_permille,334-666,3,0,0,2,1,0,2,2,0.6666666666666666,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,max_retained_position_permille,667-1000,25,1,1,5,18,2,6,7,0.28,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,min_retained_position_permille,0-333,14,1,1,3,9,2,4,5,0.35714285714285715,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,min_retained_position_permille,334-666,11,0,0,2,9,0,2,2,0.18181818181818182,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,min_retained_position_permille,667-1000,7,1,1,2,3,2,3,4,0.5714285714285714,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,overwritten_writes,0,22,2,2,7,11,4,9,11,0.5,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_0,overwritten_writes,1+,10,0,0,0,10,0,0,0,0.0,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,all,all,32,2,2,7,21,4,9,11,0.34375,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,closure_records,1,11,2,2,3,4,4,5,7,0.6363636363636364,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,closure_records,3+,21,0,0,4,17,0,4,4,0.19047619047619047,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,family,record-lookup,11,2,2,3,4,4,5,7,0.6363636363636364,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,family,record-updates,10,0,0,0,10,0,0,0,0.0,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,family,reference-chain,11,0,0,4,7,0,4,4,0.36363636363636365,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,max_retained_position_permille,0-333,4,1,1,0,2,2,1,2,0.5,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,max_retained_position_permille,334-666,3,0,0,2,1,0,2,2,0.6666666666666666,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,max_retained_position_permille,667-1000,25,1,1,5,18,2,6,7,0.28,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,min_retained_position_permille,0-333,14,1,1,3,9,2,4,5,0.35714285714285715,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,min_retained_position_permille,334-666,11,0,0,2,9,0,2,2,0.18181818181818182,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,min_retained_position_permille,667-1000,7,1,1,2,3,2,3,4,0.5714285714285714,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,overwritten_writes,0,22,2,2,7,11,4,9,11,0.5,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,pair_1,overwritten_writes,1+,10,0,0,0,10,0,0,0,0.0,False,Conditional observed-output ceiling; no inter-repeat mixing or population guarantee.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,all,all,32,2,2,7,21,4,9,11,0.34375,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,closure_records,1,11,2,2,3,4,4,5,7,0.6363636363636364,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,closure_records,3+,21,0,0,4,17,0,4,4,0.19047619047619047,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,family,record-lookup,11,2,2,3,4,4,5,7,0.6363636363636364,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,family,record-updates,10,0,0,0,10,0,0,0,0.0,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,family,reference-chain,11,0,0,4,7,0,4,4,0.36363636363636365,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,max_retained_position_permille,0-333,4,1,1,0,2,2,1,2,0.5,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,max_retained_position_permille,334-666,3,0,0,2,1,0,2,2,0.6666666666666666,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,max_retained_position_permille,667-1000,25,1,1,5,18,2,6,7,0.28,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,min_retained_position_permille,0-333,14,1,1,3,9,2,4,5,0.35714285714285715,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,min_retained_position_permille,334-666,11,0,0,2,9,0,2,2,0.18181818181818182,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,min_retained_position_permille,667-1000,7,1,1,2,3,2,3,4,0.5714285714285714,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
negative-calibration-study04,DEVELOPMENT,dependency-slice-v1,one_arm_correct_in_all_repeats,overwritten_writes,0,22,2,2,7,11,4,9,11,0.5,False,Choose one observed arm per request that is correct in every repeat; no opportunistic mixing.
